UniProt	status	structure_file	pae_file	note
O14686	NO_ENTRY			No AlphaFold DB record (404)
O95071	NO_ENTRY			No AlphaFold DB record (404)
P21359	NO_CANONICAL_MODEL			No canonical AFDB model; 3 isoform-only record(s)
P25054	NO_ENTRY			No AlphaFold DB record (404)
P49792	NO_ENTRY			No AlphaFold DB record (404)
P51587	NO_ENTRY			No AlphaFold DB record (404)
Q03164	NO_ENTRY			No AlphaFold DB record (404)
Q13315	NO_ENTRY			No AlphaFold DB record (404)
Q14517	NO_ENTRY			No AlphaFold DB record (404)
Q15911	NO_ENTRY			No AlphaFold DB record (404)
Q63HN8	NO_CANONICAL_MODEL			No canonical AFDB model; 2 isoform-only record(s)
Q6V0I7	NO_ENTRY			No AlphaFold DB record (404)
Q7Z407	NO_CANONICAL_MODEL			No canonical AFDB model; 1 isoform-only record(s)
Q8NEZ4	NO_ENTRY			No AlphaFold DB record (404)
Q8NFP9	NO_CANONICAL_MODEL			No canonical AFDB model; 2 isoform-only record(s)
Q8TDW7	NO_CANONICAL_MODEL			No canonical AFDB model; 1 isoform-only record(s)
Q8WXI7	NO_ENTRY			No AlphaFold DB record (404)
Q96T58	NO_ENTRY			No AlphaFold DB record (404)
Q99102	NO_CANONICAL_MODEL			No canonical AFDB model; 2 isoform-only record(s)
Q99996	NO_CANONICAL_MODEL			No canonical AFDB model; 1 isoform-only record(s)
Q9NR09	NO_ENTRY			No AlphaFold DB record (404)
Q9NZR2	NO_ENTRY			No AlphaFold DB record (404)
Q9Y4A5	NO_ENTRY			No AlphaFold DB record (404)
